תה'-12-6: משד עניים מאנקת אביונים *עתה אקום יאמר ה'* אשית בישע יפיח לו.	יש'-33-10: *עתה אקום יאמר ה'* עתה ארומם עתה אנשא.
תה'-18-1: למנצח לעבד ה' לדוד אשר דבר *לה' את דברי השירה הזאת ביום הציל ה'* אותו מכף כל איביו ומיד שאול.	שמואל ב-22-1: וידבר דוד *לה' את דברי השירה הזאת ביום הציל ה'* אתו מכף כל איביו ומכף שאול. 
תה'-18-3: ה' סלעי ומצודתי ומפלטי אלי *צורי אחסה בו מגני וקרן ישעי משגבי*.	שמואל ב-22-3: אלהי *צורי אחסה בו מגני וקרן ישעי משגבי* ומנוסי משעי מחמס תשעני. 
תה'-18-7: *בצר לי אקרא ה' ואל אלהי* אשוע ישמע מהיכלו קולי ושועתי לפניו תבוא באזניו.	שמואל ב-22-7: *בצר לי אקרא ה' ואל אלהי* אקרא וישמע מהיכלו קולי ושועתי באזניו. 
תה'-18-8: ותגעש ותרעש הארץ ומוסדי הרים *ירגזו ויתגעשו כי חרה לו*.	שמואל ב-22-8: ויתגעש ותרעש הארץ מוסדות השמים *ירגזו ויתגעשו כי חרה לו*. 
תה'-18-9: *עלה עשן באפו ואש מפיו תאכל גחלים בערו ממנו*.	שמואל ב-22-9: *עלה עשן באפו ואש מפיו תאכל גחלים בערו ממנו*. 
תה'-18-10: *ויט שמים וירד וערפל תחת רגליו*.	שמואל ב-22-10: *ויט שמים וירד וערפל תחת רגליו*. 
תה'-18-17: *ישלח ממרום יקחני ימשני ממים רבים*.	שמואל ב-22-17: *ישלח ממרום יקחני ימשני ממים רבים*. 
תה'-18-19: יקדמוני *ביום אידי ויהי ה'* למשען לי.	שמואל ב-22-19: יקדמני *ביום אידי ויהי ה'* משען לי. 
תה'-18-21: יגמלני ה' כצדקי *כבר ידי ישיב לי*.	שמואל ב-22-21: יגמלני ה' כצדקתי *כבר ידי ישיב לי*. 
תה'-18-22: *כי שמרתי דרכי ה' ולא רשעתי מאלהי*.	שמואל ב-22-22: *כי שמרתי דרכי ה' ולא רשעתי מאלהי*. 
תה'-18-26: *עם חסיד תתחסד עם* גבר תמים תתמם.	שמואל ב-22-26: *עם חסיד תתחסד עם* גבור תמים תתמם. 
תה'-18-31: *האל תמים דרכו אמרת ה' צרופה מגן הוא לכל החסים בו*.	שמואל ב-22-31: *האל תמים דרכו אמרת ה' צרופה מגן הוא לכל החסים בו*. 
תה'-18-32: כי מי אלוה *מבלעדי ה' ומי צור* זולתי אלהינו.	שמואל ב-22-32: כי מי אל *מבלעדי ה' ומי צור* מבלעדי אלהינו. 
תה'-18-34: *משוה רגלי כאילות ועל במתי* יעמידני.	שמואל ב-22-34: *משוה רגלי כאילות ועל במתי* יעמדני. 
תה'-18-36: *ותתן לי מגן ישעך* וימינך תסעדני וענותך תרבני.	שמואל ב-22-36: *ותתן לי מגן ישעך* וענתך תרבני. 
תה'-18-38: ארדוף אויבי ואשיגם *ולא אשוב עד כלותם*.	שמואל ב-22-38: ארדפה איבי ואשמידם *ולא אשוב עד כלותם*. 
תה'-18-40: ותאזרני *חיל למלחמה תכריע קמי* תחתי.	שמואל ב-22-40: ותזרני *חיל למלחמה תכריע קמי* תחתני. 
תה'-18-44: תפלטני מריבי עם תשימני *לראש גוים עם לא ידעתי* יעבדוני.	שמואל ב-22-44: ותפלטני מריבי עמי תשמרני *לראש גוים עם לא ידעתי* יעבדני. 
תה'-18-47: *חי ה' וברוך צורי* וירום אלוהי ישעי.	שמואל ב-22-47: *חי ה' וברוך צורי* וירם אלהי צור ישעי. 
